,Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Term ID,English term,Description,Sanskrit (IAST),Sanskrit
154,894,930,ed-6.3,pittajamasurika,pittajamasūrikā,पित्तजमसूरिका,,"the disorder is characterized by rakta-sphōṭaḥ [red eruptions], pīta-sphōṭāḥ [yellow eruptions], asita-sphōṭaḥ [blackish eruptions], dāhaḥ [burning sensation], tīvravēdanā [severe pain], acirapākaḥ [suppurates quickly], viḍbhēdaḥ [altered stools/loose motions], aṅgamardaḥ [generalised bodyache], dāhaḥ [burning sensation], tr̥ṣṇā [thirst], aruciḥ [tastelessness], mukhapākaḥ [stomatitis], akṣirāgaḥ [redness in the eyes], tīvra jvaraḥ [severe fever], sudāruṇajvaraḥ [very distressing and high fever]",,ITA-5.61.11,"Lentil-shaped pox
disease due to
vitiated pitta","Lentil-shaped eruptive disorder is characterized by red
eruptions; yellow eruptions; blackish eruptions; burning
sensation; severe pain; rapidly suppurating; altered stools/
loose motions; generalized body aches; burning sensation;
thirst; loss of taste; stomatitis; redness of eyes; severe fever;
very distressing with high fever.",pittajamasūrikā,वप्तजमसूरि्का
155,895,931,ed-6.4,kapajamasurika,kaphajamasūrikā,कफजमसूरिका,,"the disorder is characterized by kaphaprasēkaḥ [salivation], staimityam [a sensation of being covered with wet clothes], śirōruk [headache], gātragauravam [heaviness of the limbs], hr̥llāsaḥ [nausea], aruciḥ [tastelessness], nidrā [sleep], tandrā [drowsiness/lassitude], ālasyam [lethargy], śvētapiḍakā [white], snigdhapiḍakā [unctuous apprearance of eruptions], sthūlapiḍakā/bhr̥śasthūlaḥ [large eruptions], kaṇḍūraḥ [associated with an itching sensation], mandavēdanā [mild pain], cirapākī [take a long time to suppurate]",,ITA-5.61.12,"Lentil-shaped pox
disease due to
vitiated kapha","Lentil-shaped eruptive disorder is characterized by salivation;
sensation of being covered with a wet cloth; headache;
heaviness of the limbs; nausea; loss of taste; sleep;
drowsiness/lassitude; lethargy; white; unctuous apprearance
of eruptions; large eruptions; associated with an itching
sensation; mild pain; taking a long time to suppurate.",kaphajamasūrikā,्कफजमसूरि्का
156,897,933,ed-6.6,raktajamasurika,raktajamasūrikā,रक्तजमसूरिका,,"the disorder is characterized by rakta-sphōṭaḥ [red eruptions], pīta-sphōṭāḥ [yellow eruptions], asita-sphōṭaḥ [blackish eruptions], dāhaḥ [burning sensation], tīvravēdanā [severe pain], acirapākaḥ [suppurates quickly], viḍbhēdaḥ [altered stools/loose motions], aṅgamardaḥ [generalised bodyache], dāhaḥ [burning sensation], tr̥ṣṇā [thirst], aruciḥ [tastelessness], mukhapākaḥ [stomatitis], akṣirāgaḥ [redness in the eyes], tīvra jvaraḥ [severe fever], sudāruṇajvaraḥ [very distressing and high fever]",,ITA-5.61.14,"Lentil-shaped pox
disease due to
vitiated blood","Lentil-shaped eruptive disorder is characterized by red
eruptions; yellow eruptions; blackish eruptions; burning
sensation; severe pain; rapidly suppurating; altered stools/
loose motions; generalized body aches; burning sensation;
thirst; loss of taste; stomatitis; redness of eyes; severe fever;
very distressing with high fever.",raktajamasūrikā,ि्तजमसूरि्का
157,900,936,ed-6.7.2,raktajamasurika,raktajamasūrikā,रक्तजमसूरिका,,"the disorder is characterized by lōhitākārapiḍakā [blood like appearance], śīghrapākāḥ [sudden onset of suppuration], tanutvak [thin skin], bhinnā raktaṁ sravanti [discharge of blood on rupture], na atyarthaduṣṭaḥ [not much severe]",,ITA-5.61.14,"Lentil-shaped pox
disease due to
vitiated blood","Lentil-shaped eruptive disorder is characterized by red
eruptions; yellow eruptions; blackish eruptions; burning
sensation; severe pain; rapidly suppurating; altered stools/
loose motions; generalized body aches; burning sensation;
thirst; loss of taste; stomatitis; redness of eyes; severe fever;
very distressing with high fever.",raktajamasūrikā,ि्तजमसूरि्का
158,903,939,ed-6.7.5,asthigatamasurika,asthigatamasūrikā,अस्थिगतमसूरिका,,"the disorder is characterized by kṣudra-piḍakā [small sized eruptions], gātrasamaḥ [colour of eruptions similar to skin], rūkṣaḥ [dry eruptions], cipiḍā [flat eruptions], kiñcidunnataḥ [slightly raised eruptions], bhr̥śasaṁmōhaḥ [marked confusion], vēdanā [pain], arati-saṁyutaḥ [severe distress/dicontent/restlessness], marmacchēdaḥ [affects /damage of marmasthāna (vital parts)], āśu-prāṇa-haraḥ [causes sudden death], bhramarēṇa iva viddhāni asthīni [pain in bones as if bitten by bee]",,ITA-5.61.19,"Lentil-shaped pox
disease localized in
bone","Lentil-shaped eruptive disorder is characterized by eruptions
which are small in size; colour of eruptions similar to skin; dry
eruptions; flat eruptions; slightly raised eruptions; marked
confusion; pain; severe distress/discontent/restlessness;
damaging the vital parts or marmasthāna; causing sudden
death; pain in bones as if stung by bee.",asthigatamasūrikā,अवसरगतमसूरि्का
159,904,940,ed-6.7.6,majjagatamasurika,majjāgatamasūrikā,मज्जागतमसूरिका,,"the disorder is characterized by kṣudra-piḍakā [small sized eruptions], gātrasamaḥ [colour of eruptions similar to skin], rūkṣaḥ [dry eruptions], cipiḍā [flat eruptions], kiñcidunnataḥ [slightly raised eruptions], bhr̥śasaṁmōhaḥ [marked confusion], vēdanā [pain], arati-saṁyutaḥ [severe distress/dicontent/restlessness], marmacchēdaḥ [affects /damage of marmasthāna (vital parts)], āśu-prāṇa-haraḥ [causes sudden death], bhramarēṇa iva viddhāni asthīni [pain in bones as if bitten by bee]",,ITA-5.61.20,"Lentil-shaped pox
disease localized in
bone marrow","Same symptoms as lentil-shaped eruptive disorder localized
in asthidhātu.",majjāgatamasūrikā,मज्ागतमसूरि्का
160,905,941,ed-6.7.7,sukragatamasurika,śukragatamasūrikā,शुक्रगतमसूरिका,,"the disorder is characterized by pakkabhāḥ(piḍakā) [suppurated appearance of eruptions], snigdha-piḍakā [unctuous apprearance of eruptions], sūkṣma-piḍakā [minute eruptions], atyarthavēdanā [extremely painful], staimityam [a sensation of being covered with wet clothes], aratiḥ [distress/dicontent/restlessness], saṁmōhaḥ [unconsciousness/confusion], dāhaḥ [burning sensation], unmādasamanvitaḥ [associated with insanity], dr̥śyatē na tu jīvitam [causes death]",,ITA-5.61.21,"Lentil-shaped pox
disease localized in
semen","Lentil-shaped eruptive disorder is characterized by the
suppurating appearance of the eruptions); unctuous
apprearance of eruptions; minute eruptions; extremely
painful; sensation of being covered with a wet cloth; distress/
discontent/restlessness; unconsciousness/confusion; burning
sensation; associated with insanity; causing death.",śukragatamasūrikā,शुरिगतमसूरि्का
161,908,944,sl81(ed-7),raktapittam,raktapittam,रक्तपित्तम्,,"it is characterised by bleeding from body orifices or beneath the skin. this may be explained by: (a) aggravated pitta which brings about excitement of the blood, propelling it through the body orifices.",note: also classifed under #san@sonitajanyarogah#[ed-2],ITA-5.16.1,"Haemorrhage from
external and internal
orifices, bleeding
disorders","A disorder characterized by some or all the following signs
and symptoms: bleeding from body orifices in its upper part,
i.e. mouth, nose, eyes and ears; bleeding from body orifices
in its lower part, i.e. anus, penis and vagina; bleeding from
both body parts; bleeding through hair follicles.",raktapittam,ि्तवप्तम्
162,913,949,ed-7.5,vatajaraktapittam,vātajaraktapittam,वातजरक्तपित्तम्,,"the disorder is characterized by śyāvaraktapravr̥ttiḥ [blacksh blood discharge], aruṇaraktapravr̥ttiḥ [slightly reddish blood discharge], saphēnaraktapravr̥ttiḥ [frothy blood discharge], tanuraktapravr̥ttiḥ [reduced viscocity of bood discharge], rūkṣaraktapravr̥ttiḥ [reduced unctoousness of bood discharge]",,ITA-5.16.2,"Haemorrhage due to
predominance of vata","A disorder characterized by some or all the following signs
and symptoms: blackish blood discharge; slightly reddish
blood discharge; frothy blood discharge; reduced viscosity of
blood discharge; reduced unctuousness of blood discharge.",vātajaraktapittam,र्ातजि्तवप्तम्
163,914,950,ed-7.6,pittajaraktapittam,pittajaraktapittam,पित्तजरक्तपित्तम्,,"the disorder is characterized by kaṣāyābha-raktapravr̥ttiḥ [ochre coloured blood discharge], kr̥ṣṇa-raktapravr̥ttiḥ [black coloured blood discharge], gōmūtrasannibha-raktapravr̥ttiḥ [blood discharge resembling colour of cow's urine], mēcakāgāradhūmābha-raktapravr̥ttiḥ [blood like eyes of peacocks tail or else may be like soot or collyrium], añjanābha-raktapravr̥ttiḥ [blood discharge resembling collyrium]",,ITA-5.16.3,"Haemorrhage due to
predominance of pitta","A disorder characterized by some or all the following signs
and symptoms: ochre-coloured blood discharge; black-
coloured blood discharge; blood discharge resembling the
colour of cow’s urine; blood resembling the ocelli in a
peacock’s tail; blood discharge resembling soot or collyrium.",pittajaraktapittam,वप्तजि्तवप्तम्
164,915,951,ed-7.7,kapajaraktapittam,kaphajaraktapittam,कफजरक्तपित्तम्,,"the disorder is characterized by sāndra-raktapravr̥ttiḥ [a viscid blood passing], sapāṇḍu-raktapravr̥ttiḥ [pale blood passing], sasnēha-raktapravr̥ttiḥ [oleaginous blood passing], picchila-raktapravr̥ttiḥ [sleepary blood passing], kaphānvita-raktapravr̥ttiḥ [mucoid blood passing]",,ITA-5.16.4,"Haemorrhage due to
predominance
of kapha","A disorder characterized by some or all the following signs
and symptoms: discharge of viscous blood; pale blood; oily
blood; slimy blood; and mucoid blood.",kaphajaraktapittam,्कफजि्तवप्तम्
165,920,956,ed-8(sp11),vataraktam,vātaraktam,वातरक्तम्,,,note: also classifed under #san@sonitajanyarogah#[ed-2],ITA-5.30.1,"Polyarthritis due to
vitiated vata and
blood","A disorder characterized by pain in small joints of the foot,
gradually spreading to upper portions of the body; causing
itching, pain, numbness in all joints of the hands and feet.",vātaraktam,र्ाति्तम्
166,922,958,ed-8.2,uttana-vataraktam,uttāna-vātaraktam,उत्तान-वातरक्तम्,,"the disorder is characterized by kaṇḍūḥ [itching], dāhaḥ [burning sensation], ruk [pain], āyāmaḥ [feeling of stretching], tōdaḥ [pricking pain], sphuraṇam [pulsating sensation], kuñcanam [contraction], śyāvaraktā tvak [brownish black discoloration of skin], tvagbāhyē tāmrā [coppery discoloration on exterior of skin], lōhita-tvak [reddish discoloration of skin]",,ITA-5.30.2,"Superficial
polyarthritis due to
vitiated vata and
blood","Multiple joint pain, itching; burning sensation; feeling of
stretching; pricking pain; pulsating sensation; contraction;
brownish black discoloration of skin; coppery discoloration on
exterior of skin; reddish discoloration of skin.",uttāna-vātaraktam,उ्ताि-र्ाति्तम्
167,923,959,ed-8.3,gambira-vataraktam,gambhīra-vātaraktam,गम्भीर-वातरक्तम्,,"the disorder is characterized by śvayathuḥ [swelling], stabdhaḥ [stiffness], kaṭhinaḥ/grathitaḥ [hardness], bhr̥śam artiḥ [sudden onset of pain], śyāvaḥ [bluish black colour], tāmravarṇaḥ [copper colour], dāhaḥ [burning sensation], tōdaḥ [pricking pain], sphuraṇam [pulsating sensation], pākaḥ [inflammation/suppuration], rujā [pain], vidāhaḥ [internal burning sensation], khañjatā [lameness], pāṅgulyam [limping of both leg], vakratā [deformities]",,ITA-5.30.3,"Deep-rooted
polyarthiris due to
vitiated vata and
blood","Multiple joint pains; swelling; stiffness; hardness; sudden
onset of pain; bluish-black colour; copper colour; burning
sensation; pricking pain; pulsating sensation; inflammation/
suppuration; internal burning sensation; lameness; limping of
both leg; deformities.",gambhīra-vātaraktam,गमभीि-र्ाति्तम्
168,936,972,ed-9,vidradhih,vidradhiḥ,विद्रधिः,,"the disorder is characterized by gambhīrasthaḥ/mahāmūlaḥ sudāruṇaḥ granthiḥ [deep seated fatal swelling], hr̥dyē tīvravēdanā [severe pain in cardiac region], klōmni tīvravēdanā [severe pain in klōma], yakr̥ti tīvravēdanā [severe pain in liver region], plīhni tīvravēdanā [severe pain in splenic region], kukṣau tīvravēdanā [severe pain in flanks], vr̥kkayōḥ tīvravēdanā [severe pain in renal region], nābhyāṁ tīvravēdanā [severe pain in navel region], vaṅkṣaṇē tīvravēdanā [severe pain in groins], bastau tīvravēdanā [severe pain in basti/urinary bladder region], śīghravidāhaḥ [sudden onset of suppuration], śōpham [odema], vr̥ttaśōpham [rounded swelling], āyataśōpham [lengthened swelling]",note: also classifed under #san@sonitajanyarogah#[ed-2],ITA-5.52.1,Abscess,"A disorder characterized by some or all the following signs
and symptoms: a deep-seated swelling which is broad-based;
painful and round or else elongated, located in the bones and
affecting skin; blood; muscles and fat; with the gradual
production of excessively severe inflammatory swelling due to
vitiated dosha. Generally, the condition advances to an
open ulcer.",vidradhiḥ,वर्द्रवधः
169,938,974,ed-9.2,pittajavidradhih,pittajavidradhiḥ,पित्तजविद्रधिः,,"the disorder is characterized by pakvōdumbarasaṅkāśaśōphaḥ [swelling resemble ripe udumbara/fig fruit], śyāvavarṇaśōphaḥ/asitaśōphaḥ [blackish colour of swelling], jvaraḥ [fever], dāhayutaḥ (dāhavān) [produces burning sensation], kṣiprōtthānaprapākaḥ [has a quick onset and suppuration], pītasrāvaḥ [yellowish discharge], tilasannibhasrāvaḥ [discharge resembling tila (sesame seeds)], māṣasannibhasrāvaḥ [discharge resembling māṣa (black gram)], kulatthōdakasannibhasrāvaḥ [discharge resembling kulatthōdakaḥ], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], madaḥ [intoxication], raktaśōphaḥ [reddish swelling], tāmraśōphaḥ [coppery coloured swelling]",,ITA-5.52.3,"Abscess due to
vitiated pitta","A type of abscess characterized by a swelling resembling ripe
fig-fruit or udumbara; blackish colour of swelling; fever;
producing a burning sensation; rapid onset and suppuration;
yellowish discharge; discharge resembling sesame seeds or
tila; discharge resembling black gram or māṣa; discharge
resembling kulatthodakaḥ; thirst; confusion/delirium;
intoxication; reddish swelling; coppery-coloured swelling.",pittajavidradhiḥ,वप्तजवर्द्रवधः
